# Name                 	RA	DEC	D	Vlos	PMRA	PMDEC	rmaxdegr	 radius	Nmember
#                      	    deg	    deg	    kpc	   km/s	 mas/yr	 mas/yr	deg	 arcmin	dimless
NGC 4590 (M 68)        	189.8651	-26.7454	10.3	-93.2	-2.764	1.7916	0.24	8	3687
NGC 4833               	194.8978	-70.8718	6.6	207.86	-8.3147	-0.9366	0.19	10	5776
NGC 5024 (M 53)        	198.2262	18.1661	17.9	-64.33	-0.1466	-1.3514	0.26	10	4784
NGC 5053               	199.1124	17.7008	17.4	42.5	-0.3591	-1.2586	0.13	6	1942
NGC 5139 (omega Cen)   	201.7876	-47.4515	5.2	235.12	-3.1925	-6.7445	1.09	40	68783
NGC 5272 (M 3)         	205.5486	28.376	10.2	-146.48	-0.1127	-2.6274	0.47	20	12391
NGC 5286               	206.6136	-51.3723	11.7	56.8	0.1836	-0.1477	0.16	6	2066
NGC 5466               	211.3614	28.5331	16	109.41	-5.4044	-0.7907	0.15	8	3030
NGC 5634               	217.4053	-5.9773	25.2	-16.2	-1.7309	-1.5283	0.09	3	597
NGC 5694               	219.901	-26.539	35	-139.4	-0.44	-1.088	0.05	3	245
NGC 5824               	225.994	-33.068	32.1	-25.5	-1.184	-2.227	0.07	4	894
NGC 5897               	229.3515	-21.0115	12.5	99.92	-5.4108	-3.4595	0.18	8	3808
NGC 5904 (M 5)         	229.6394	2.0766	7.5	54.54	4.0613	-9.861	0.56	20	14254
NGC 5927               	232.0065	-50.6694	7.7	-104.1	-5.047	-3.2325	0.15	8	3029
NGC 5946               	233.8711	-50.6617	10.6	131.88	-5.1909	-1.6522	0.09	4	468
NGC 5986               	236.5211	-37.7826	10.4	98.9	-4.2217	-4.5515	0.16	6	2482
NGC 6093 (M 80)        	244.2564	-22.9723	10	12.01	-2.9469	-5.5613	0.16	6	2309
NGC 6101               	246.451	-72.202	15.4	361.4	1.76	-0.216	0.1	6	3216
NGC 6121 (M 4)         	245.8976	-26.5279	2.2	71.4	-12.4956	-18.9789	1.13	20	18796
NGC 6139               	246.918	-38.849	10.1	25	-6.168	-2.654	0.07	4	869
NGC 6144               	246.8061	-26.0301	8.9	195.85	-1.7646	-2.6371	0.17	4	1478
NGC 6171 (M 107)       	248.135	-13.057	6.4	-35.01	-1.9359	-5.9487	0.33	6	4274
NGC 6205 (M 13)        	250.4217	36.4596	7.1	-245.62	-3.1762	-2.5876	0.58	15	16325
NGC 6218 (M 12)        	251.8101	-1.951	4.8	-41	-0.1577	-6.7683	0.38	10	9803
NGC 6229               	251.745	47.528	30.5	-138.3	-1.185	-0.431	0.07	4	418
NGC 6235               	253.3557	-22.1798	11.5	87.3	-3.9442	-7.5615	0.15	4	797
NGC 6254 (M 10)        	254.2861	-4.0981	4.4	76.76	-4.7031	-6.5285	0.47	15	12933
NGC 6256               	254.886	-37.121	10.3	-99.6	-3.649	-1.507	0.05	3	229
NGC 6266 (M 62)        	255.2821	-30.0938	6.8	-74.86	-5.3269	-2.9818	0.17	12	4233
NGC 6273 (M 19)        	255.6561	-26.2696	8.8	141.29	-3.2237	1.6059	0.21	8	3717
NGC 6284               	256.1187	-24.7662	15.3	30.29	-3.1882	-2.0479	0.1	3	470
NGC 6287               	256.2882	-22.7183	9.4	-292.45	-4.8866	-1.9208	0.13	4	1035
NGC 6293               	257.5413	-26.5799	9.5	-143.65	0.8225	-4.307	0.09	4	664
NGC 6304               	258.637	-29.4816	5.9	-111.7	-3.9478	-1.1248	0.16	3	461
NGC 6316               	259.1534	-28.1532	10.4	99.1	-4.8215	-4.614	0.1	3	398
NGC 6325               	259.4962	-23.7668	7.8	29.8	-8.3777	-9.0067	0.09	3	331
NGC 6333 (M 9)         	259.8021	-18.5146	7.9	229.1	-2.2028	-3.2084	0.09	8	2945
NGC 6341 (M 92)        	259.2821	43.1352	8.3	-118.81	-4.9367	-0.5559	0.26	10	7037
NGC 6342               	260.2983	-19.605	8.5	118.97	-2.9475	-7.0059	0.13	3	496
NGC 6352               	261.3739	-48.427	5.6	-123.25	-2.1889	-4.4209	0.18	8	4027
NGC 6355               	260.994	-26.353	9.2	-196.4	-4.706	-0.512	0.05	3	338
NGC 6356               	260.8898	-17.8128	15.1	37.6	-3.7683	-3.3746	0.09	6	1421
NGC 6362               	262.9772	-67.0492	7.6	-14.7	-5.5014	-4.7417	0.26	8	8481
NGC 6366               	261.9393	-5.0752	3.5	-120.9	-0.3835	-5.1309	0.36	8	5141
NGC 6380 (Ton 1)       	263.6202	-39.0694	10.9	-3.6	-2.0984	-3.1922	0.07	2	290
NGC 6388               	264.0654	-44.7423	9.9	80	-1.3548	-2.7144	0.11	6	2235
NGC 6397               	265.1697	-53.6773	2.3	19.18	3.2908	-17.5908	0.76	25	22209
NGC 6401               	264.6581	-23.9173	10.6	-65	-2.8193	1.4424	0.11	3	302
NGC 6402 (M 14)        	264.3984	-3.2473	9.3	-60.7	-3.6146	-5.0357	0.2	8	3674
NGC 6426               	266.228	3.17	20.6	-162	-1.848	-2.999	0.05	3	339
NGC 6440               	267.2028	-20.3521	8.5	-72.58	-1.2135	-3.883	0.09	3	674
NGC 6441               	267.554	-37.066	11.6	17.1	-2.5394	-5.301	0.12	6	1961
NGC 6453               	267.7197	-34.6002	11.6	-94.94	0.0699	-5.8521	0.07	3	126
NGC 6496               	269.7677	-44.266	11.3	-134.7	-3.029	-9.1971	0.13	6	1317
NGC 6517               	270.4528	-8.9568	10.6	-32.45	-1.5209	-4.2622	0.08	4	612
NGC 6522               	270.8956	-30.035	7.7	-17.26	2.578	-6.3412	0.09	3	274
NGC 6528               	271.2039	-30.055	7.9	211	-2.1879	-5.5718	0.05	2	144
NGC 6535               	270.959	-0.2953	6.8	-211.4	-4.2101	-2.9461	0.11	3	660
NGC 6539               	271.1924	-7.5896	7.8	35.6	-6.831	-3.4792	0.26	5	1019
NGC 6540 (Djorg 3)     	271.536	-27.765	5.3	-17.7	-3.729	-2.732	0.03	2	69
NGC 6541               	271.9827	-43.7144	7.5	-164.64	0.2762	-8.7659	0.27	10	4340
NGC 6544               	271.8438	-25.0186	3	-27.06	-2.328	-18.5574	0.25	6	2682
NGC 6553               	272.323	-25.909	6	0.5	0.262	-0.412	0.07	4	961
NGC 6558               	272.573	-31.764	7.4	-195.6	-1.765	-4.112	0.03	2	174
NGC 6569               	273.412	-31.827	10.9	-49.9	-4.113	-7.279	0.07	4	802
NGC 6584               	274.657	-52.216	13.5	259.6	-0.037	-7.213	0.1	6	1308
NGC 6624               	275.919	-30.361	7.9	54.7	0.12	-6.929	0.05	3	536
NGC 6626 (M 28)        	276.1349	-24.843	5.5	14.55	-0.4236	-8.8037	0.19	8	1872
NGC 6637 (M 69)        	277.8342	-32.3565	8.8	47.19	-5.0669	-5.8017	0.1	6	867
NGC 6638               	277.734	-25.497	9.4	18.1	-2.535	-4.085	0.05	3	304
NGC 6642               	277.975	-23.475	8.1	-33	-0.178	-3.914	0.03	2	239
NGC 6652               	278.94	-32.991	10	-111.7	-5.496	-4.198	0.05	3	634
NGC 6656 (M 22)        	279.1048	-23.9102	3.2	-147.6	9.8019	-5.5643	0.85	20	17895
NGC 6681 (M 70)        	280.802	-32.2892	9	215.87	1.3853	-4.7174	0.08	6	1517
NGC 6712               	283.268	-8.706	6.9	-107.5	3.329	-4.395	0.07	4	912
NGC 6715 (M 54)        	283.764	-30.48	26.5	142.3	-2.714	-1.379	0.1	6	2505
NGC 6717 (Pal 9)       	283.775	-22.701	7.1	22.8	-3.11	-4.946	0.05	3	548
NGC 6723               	284.888	-36.632	8.7	-94.4	1.019	-2.442	0.13	8	4078
NGC 6749               	286.314	1.901	7.9	-58.5	-2.84	-5.952	0.05	3	673
NGC 6752               	287.7175	-59.9833	4	-26.12	-3.1908	-4.0347	0.55	20	25809
NGC 6760               	287.8	1.03	7.4	-1.6	-1.124	-3.547	0.07	4	1109
NGC 6779 (M 56)        	289.148	30.184	9.4	-136.67	-2.0092	1.6553	0.12	6	2408
NGC 6809 (M 55)        	295.0046	-30.9621	5.4	176.46	-3.4017	-9.2642	0.28	12	12803
NGC 6838 (M 71)        	298.4427	18.779	4	-21.01	-3.3842	-2.6528	0.19	6	4413
NGC 6864 (M 75)        	301.5205	-21.9213	20.9	-185.33	-0.5869	-2.7839	0.05	4	989
NGC 6934               	308.547	7.404	15.6	-406.1	-2.645	-4.658	0.07	4	1385
NGC 6981 (M 72)        	313.3662	-12.5386	17	-345	-1.2488	-3.3117	0.18	4	1242
NGC 7006               	315.372	16.187	41.2	-383.2	-0.08	-0.584	0.05	3	297
NGC 7078 (M 15)        	322.4949	12.1661	10.4	-105.58	-0.6238	-3.796	0.4	10	7403
NGC 7089 (M 2)         	323.3497	-0.8177	11.5	-4.79	3.4911	-2.1501	0.2	8	4272
NGC 7099 (M 30)        	325.0888	-23.1792	8.1	-186.48	-0.7017	-7.2218	0.26	8	4133
NGC 7492               	347.111	-15.611	26.3	-176.7	0.798	-2.277	0.05	3	199
Pal 1                  	53.334	79.581	11.1	-82.8	-0.176	0.086	0.03	2	56
Pal 10                 	289.509	18.572	5.9	-31.7	-4.23	-6.919	0.05	3	347
Pal 11                 	296.31	-8.007	13.4	-67.2	-1.813	-4.936	0.07	4	319
Pal 12                 	326.662	-21.253	19	28.2	-3.248	-3.29	0.05	3	206
Pal 13                 	346.685	12.772	26	25.7	1.625	0.114	0.05	3	56
Pal 14 (Arp 1)         	242.752	14.958	76.5	72.2	-0.503	-0.488	0.08	5	80
Pal 15                 	254.963	-0.539	45.1	68.9	-0.569	-0.856	0.07	4	104
Pal 2                  	71.525	31.381	27.2	-134.9	1.062	-1.578	0.05	3	172
Pal 3                  	151.383	0.072	92.5	89.9	0.087	-0.085	0.05	3	36
Pal 4                  	172.32	28.974	108.7	72.7	-0.145	-0.516	0.07	4	30
Pal 5                  	229.022	-0.112	23.2	-58.4	-2.728	-2.687	0.1	6	242
Pal 6                  	265.926	-26.223	5.8	181	-9.237	-5.292	0.05	3	198
Pal 7 (IC 1276)        	272.684	-7.208	5.4	155.3	-2.573	-4.378	0.1	6	1621
Pal 8                  	280.375	-19.826	12.8	-43	-2.022	-5.649	0.05	3	428
Pismis 26 (Ton 2)      	264.044	-38.553	8.2	-183.8	-5.943	-0.539	0.05	3	335
Pyxis                  	136.991	-37.221	39.4	40.4	1.079	0.24	0.03	2	59
Rup 106                	189.667	-51.15	21.2	-38.4	-1.264	0.391	0.05	3	442
Terzan 1 (HP 2)        	263.949	-30.481	6.7	57.7	-2.985	-4.74	0.03	2	153
Terzan 12              	273.066	-22.742	4.8	94.1	-6.173	-2.693	0.05	3	169
Terzan 2 (HP 3)        	261.888	-30.802	7.5	109	-2.253	-6.196	0.05	3	94
Terzan 3               	247.167	-35.353	8.2	-135.7	-5.606	-1.701	0.07	4	837
Terzan 4 (HP 4)        	262.663	-31.596	7.2	-50	-5.414	-3.383	0.03	2	42
Terzan 5 (Terzan 11)   	267.02	-24.779	6.9	-82.3	-1.71	-4.698	0.03	2	542
Terzan 6 (HP 5)        	267.693	-31.275	6.8	136.6	-5.519	-6.987	0.03	2	22
Terzan 7               	289.433	-34.658	22.8	159.6	-2.988	-1.592	0.05	3	203
Terzan 8               	295.435	-33.999	26.3	148.2	-2.438	-1.571	0.07	4	379
Terzan 9               	270.412	-26.84	7.1	59	-2.225	-7.492	0.05	3	137
Whiting 1              	30.738	-3.253	30.1	-130.6	-0.197	-1.756	0.05	3	39
