# Name                 	Mass	RA	DEC	D	Vlos	PMRA	PMDEC	rmaxdegr	 radius	Nmember
#                      	[Msun]	    deg	    deg	    kpc	   km/s	 mas/yr	 mas/yr	deg	 arcmin	dimless
NGC 6316               	3.75E+05	259.1534	-28.1532	10.4	99.1	-4.8215	-4.614	0.1	3	398
NGC 5904 (M 5)         	3.72E+05	229.6394	2.0766	7.5	54.54	4.0613	-9.861	0.56	20	14254
NGC 6626 (M 28)        	3.69E+05	276.1349	-24.843	5.5	14.55	-0.4236	-8.8037	0.19	8	1872
NGC 6139               	3.59E+05	246.918	-38.849	10.1	25	-6.168	-2.654	0.07	4	869
NGC 5927               	3.54E+05	232.0065	-50.6694	7.7	-104.1	-5.047	-3.2325	0.15	8	3029
NGC 362                	3.45E+05	15.8099	-70.8489	8.6	226.93	6.6954	-2.5184	0.39	12	6388
Pal 2                  	3.35E+05	71.525	31.381	27.2	-134.9	1.062	-1.578	0.05	3	172
NGC 1851               	3.02E+05	78.528	-40.0456	12.1	323.36	2.1308	-0.622	0.28	10	4639
NGC 6569               	3.02E+05	273.412	-31.827	10.9	-49.9	-4.113	-7.279	0.07	4	802
NGC 5986               	3.01E+05	236.5211	-37.7826	10.4	98.9	-4.2217	-4.5515	0.16	6	2482
NGC 6229               	2.91E+05	251.745	47.528	30.5	-138.3	-1.185	-0.431	0.07	4	418
NGC 6779 (M 56)        	2.81E+05	289.148	30.184	9.4	-136.67	-2.0092	1.6553	0.12	6	2408
NGC 6304               	2.77E+05	258.637	-29.4816	5.9	-111.7	-3.9478	-1.1248	0.16	3	461
NGC 6541               	2.77E+05	271.9827	-43.7144	7.5	-164.64	0.2762	-8.7659	0.27	10	4340
NGC 6341 (M 92)        	2.68E+05	259.2821	43.1352	8.3	-118.81	-4.9367	-0.5559	0.26	10	7037
NGC 6760               	2.54E+05	287.8	1.03	7.4	-1.6	-1.124	-3.547	0.07	4	1109
NGC 6539               	2.50E+05	271.1924	-7.5896	7.8	35.6	-6.831	-3.4792	0.26	5	1019
NGC 4372               	2.49E+05	186.4587	-72.6562	5.8	77.41	-6.3898	3.3266	0.46	12	11153
NGC 6093 (M 80)        	2.49E+05	244.2564	-22.9723	10	12.01	-2.9469	-5.5613	0.16	6	2309
NGC 4833               	2.47E+05	194.8978	-70.8718	6.6	207.86	-8.3147	-0.9366	0.19	10	5776
NGC 6752               	2.39E+05	287.7175	-59.9833	4	-26.12	-3.1908	-4.0347	0.55	20	25809
NGC 6553               	2.35E+05	272.323	-25.909	6	0.5	0.262	-0.412	0.07	4	961
NGC 7006               	2.29E+05	315.372	16.187	41.2	-383.2	-0.08	-0.584	0.05	3	297
Terzan 1 (HP 2)        	2.23E+05	263.949	-30.481	6.7	57.7	-2.985	-4.74	0.03	2	153
NGC 5634               	2.13E+05	217.4053	-5.9773	25.2	-16.2	-1.7309	-1.5283	0.09	3	597
NGC 5897               	2.03E+05	229.3515	-21.0115	12.5	99.92	-5.4108	-3.4595	0.18	8	3808
NGC 6293               	1.88E+05	257.5413	-26.5799	9.5	-143.65	0.8225	-4.307	0.09	4	664
NGC 6809 (M 55)        	1.88E+05	295.0046	-30.9621	5.4	176.46	-3.4017	-9.2642	0.28	12	12803
NGC 6254 (M 10)        	1.84E+05	254.2861	-4.0981	4.4	76.76	-4.7031	-6.5285	0.47	15	12933
NGC 1904 (M 79)        	1.69E+05	81.0463	-24.5255	12.9	206.43	2.4702	-1.5603	0.14	8	2747
