# Name                 	     RA	    DEC	      D	   Vlos	  eVlos	   PMRA	  PMDEC	  ePMRA	 ePMDEC	 corrPM	 radius	Nmember
#                      	    deg	    deg	    kpc	   km/s	   km/s	 mas/yr	 mas/yr	 mas/yr	 mas/yr	dimless	 arcmin	dimless
NGC 6380 (Ton 1)       	263.617	-39.069	   10.9	   -3.6	    2.5	 -2.099	 -3.135	  0.021	  0.018	 -0.112	    2.0	    290
Terzan 1 (HP 2)        	263.949	-30.481	    6.7	   57.7	    1.2	 -2.985	 -4.740	  0.044	  0.042	  0.232	    2.0	    153
Pismis 26 (Ton 2)      	264.044	-38.553	    8.2	 -183.8	    0.8	 -5.943	 -0.539	  0.019	  0.015	  0.157	    3.0	    335
NGC 6388               	264.072	-44.736	    9.9	   83.4	    0.5	 -1.319	 -2.698	  0.010	  0.009	  0.021	    6.0	   2235
NGC 6402 (M 14)        	264.400	 -3.246	    9.3	  -60.7	    0.4	 -3.625	 -5.067	  0.008	  0.008	  0.119	    8.0	   3674
NGC 6401               	264.652	-23.910	   10.6	  -65.0	    8.6	 -2.827	  1.456	  0.015	  0.013	  0.081	    3.0	    302
NGC 6397               	265.175	-53.674	    2.3	   18.4	    0.1	  3.301	-17.610	  0.004	  0.004	 -0.031	   25.0	  22209
Pal 6                  	265.926	-26.223	    5.8	  181.0	    2.8	 -9.237	 -5.292	  0.025	  0.022	  0.302	    3.0	    198
NGC 6426               	266.228	  3.170	   20.6	 -162.0	   23.0	 -1.848	 -2.999	  0.012	  0.012	  0.406	    3.0	    339
Djorg 1                	266.868	-33.066	      ?	      ?	      ?	 -5.111	 -8.304	  0.063	  0.040	 -0.029	    2.0	     76
Terzan 5 (Terzan 11)   	267.020	-24.779	    6.9	  -82.3	    1.3	 -1.710	 -4.698	  0.048	  0.042	  0.192	    2.0	    542
NGC 6440               	267.220	-20.360	    8.5	  -67.8	    1.0	 -1.140	 -3.861	  0.024	  0.021	  0.269	    3.0	    674
NGC 6441               	267.554	-37.051	   11.6	   17.1	    0.8	 -2.516	 -5.350	  0.012	  0.011	  0.055	    6.0	   1961
Terzan 6 (HP 5)        	267.693	-31.275	    6.8	  136.6	    1.6	 -5.519	 -6.987	  0.163	  0.110	 -0.050	    2.0	     22
NGC 6453               	267.715	-34.599	   11.6	  -83.7	    8.3	  0.173	 -5.886	  0.020	  0.018	 -0.068	    3.0	    126
NGC 6496               	269.765	-44.266	   11.3	 -134.7	    0.3	 -3.038	 -9.221	  0.008	  0.007	  0.053	    6.0	   1317
Terzan 9               	270.412	-26.840	    7.1	   59.0	   10.0	 -2.225	 -7.492	  0.038	  0.029	  0.130	    3.0	    137
ESO 456-38 (Djorg 2)   	270.455	-27.826	    6.3	 -150.0	   28.0	  0.576	 -3.048	  0.048	  0.042	 -0.030	    2.0	     46
NGC 6517               	270.461	 -8.959	   10.6	  -39.6	    8.0	 -1.508	 -4.260	  0.016	  0.015	  0.341	    4.0	    612
Terzan 10              	270.742	-26.067	    5.8	     --	     --	 -7.021	 -2.511	  0.063	  0.053	  0.221	    2.0	     43
NGC 6522               	270.892	-30.034	    7.7	  -14.0	    0.6	  2.666	 -6.404	  0.020	  0.019	  0.022	    3.0	    274
NGC 6535               	270.960	 -0.298	    6.8	 -214.9	    0.4	 -4.237	 -2.916	  0.016	  0.015	  0.111	    3.0	    660
NGC 6528               	271.207	-30.056	    7.9	  211.0	    0.7	 -2.184	 -5.576	  0.030	  0.026	  0.021	    2.0	    144
NGC 6539               	271.207	 -7.586	    7.8	   35.6	    0.5	 -6.847	 -3.480	  0.012	  0.010	  0.128	    5.0	   1019
NGC 6540 (Djorg 3)     	271.536	-27.765	    5.3	  -17.7	    1.4	 -3.729	 -2.732	  0.028	  0.028	  0.126	    2.0	     69
NGC 6544               	271.836	-24.997	    3.0	  -36.4	    1.0	 -2.318	-18.586	  0.012	  0.012	  0.086	    6.0	   2682
NGC 6541               	272.010	-43.715	    7.5	 -163.9	    0.4	  0.351	 -8.830	  0.007	  0.007	 -0.072	   10.0	   4340
ESO 280-06             	272.275	-46.423	   21.4	   93.2	    0.5	 -0.557	 -2.724	  0.054	  0.041	  0.294	    2.0	     57
NGC 6553               	272.323	-25.909	    6.0	    0.5	    0.4	  0.262	 -0.412	  0.013	  0.013	  0.065	    4.0	    961
NGC 6558               	272.573	-31.764	    7.4	 -195.6	    0.7	 -1.765	 -4.112	  0.017	  0.016	  0.096	    2.0	    174
Pal 7 (IC 1276)        	272.684	 -7.208	    5.4	  155.3	    0.9	 -2.573	 -4.378	  0.011	  0.011	  0.134	    6.0	   1621
Terzan 12              	273.066	-22.742	    4.8	   94.1	    1.5	 -6.173	 -2.693	  0.032	  0.028	  0.325	    3.0	    169
NGC 6569               	273.412	-31.827	   10.9	  -49.9	    0.4	 -4.113	 -7.279	  0.010	  0.010	  0.072	    4.0	    802
ESO 456-78 (BH 261)    	273.527	-28.635	    6.5	     --	     --	  3.555	 -3.626	  0.032	  0.030	  0.336	    2.0	     60
NGC 6584               	274.657	-52.216	   13.5	  259.6	    1.6	 -0.037	 -7.213	  0.008	  0.007	 -0.074	    6.0	   1308
NGC 6624               	275.919	-30.361	    7.9	   54.7	    0.4	  0.120	 -6.929	  0.015	  0.013	  0.005	    3.0	    536
NGC 6626 (M 28)        	276.137	-24.870	    5.5	   11.0	    0.6	 -0.293	 -8.969	  0.012	  0.012	 -0.087	    8.0	   1872
NGC 6638               	277.734	-25.497	    9.4	   18.1	    3.9	 -2.535	 -4.085	  0.013	  0.012	  0.224	    3.0	    304
NGC 6637 (M 69)        	277.846	-32.348	    8.8	   39.9	    2.8	 -5.102	 -5.805	  0.010	  0.009	  0.285	    6.0	    867
NGC 6642               	277.975	-23.475	    8.1	  -33.0	    1.0	 -0.178	 -3.914	  0.019	  0.018	  0.076	    2.0	    239
NGC 6652               	278.940	-32.991	   10.0	 -111.7	    5.8	 -5.496	 -4.198	  0.010	  0.009	  0.073	    3.0	    634
NGC 6656 (M 22)        	279.100	-23.905	    3.2	 -147.8	    0.3	  9.845	 -5.584	  0.005	  0.005	  0.097	   20.0	  17895
Pal 8                  	280.375	-19.826	   12.8	  -43.0	   15.0	 -2.022	 -5.649	  0.011	  0.010	  0.287	    3.0	    428
NGC 6681 (M 70)        	280.803	-32.292	    9.0	  217.4	    0.9	  1.413	 -4.722	  0.011	  0.010	  0.157	    6.0	   1517
NGC 6712               	283.268	 -8.706	    6.9	 -107.5	    0.3	  3.329	 -4.395	  0.009	  0.009	  0.098	    4.0	    912
NGC 6715 (M 54)        	283.764	-30.480	   26.5	  142.3	    0.3	 -2.714	 -1.379	  0.007	  0.007	  0.214	    6.0	   2505
NGC 6717 (Pal 9)       	283.775	-22.701	    7.1	   22.8	    3.4	 -3.110	 -4.946	  0.014	  0.014	  0.370	    3.0	    548
NGC 6723               	284.888	-36.632	    8.7	  -94.4	    0.2	  1.019	 -2.442	  0.006	  0.005	  0.111	    8.0	   4078
NGC 6749               	286.314	  1.901	    7.9	  -58.5	    0.9	 -2.840	 -5.952	  0.013	  0.013	  0.217	    3.0	    673
NGC 6752               	287.717	-59.985	    4.0	  -26.2	    0.1	 -3.179	 -4.037	  0.003	  0.003	  0.076	   20.0	  25809
NGC 6760               	287.800	  1.030	    7.4	   -1.6	    1.7	 -1.124	 -3.547	  0.011	  0.012	  0.172	    4.0	   1109
NGC 6779 (M 56)        	289.148	 30.183	    9.4	 -122.0	    0.5	 -2.001	  1.664	  0.007	  0.008	  0.042	    6.0	   2408
Terzan 7               	289.433	-34.658	   22.8	  159.6	    0.1	 -2.988	 -1.592	  0.021	  0.019	  0.283	    3.0	    203
Pal 10                 	289.509	 18.572	    5.9	  -31.7	    0.4	 -4.230	 -6.919	  0.018	  0.017	  0.053	    3.0	    347
